year_month,agent,mean,count
2024-12,Devin,0.04281789824987451,12
2025-01,Devin,0.3107682916406967,412
2025-02,Devin,0.2495086159652788,365
2025-03,Claude_Code,0.2775499096605927,16
2025-03,Devin,0.24945782830187269,497
2025-04,Devin,0.24096297361811828,697
2025-05,Claude_Code,0.16920684834249408,82
2025-05,Copilot,0.20259406717901504,2956
2025-05,Devin,0.241135677070658,665
2025-05,OpenAI_Codex,0.1967291915040281,715
2025-06,Claude_Code,0.26451281683032657,88
2025-06,Copilot,0.1912537871115627,5581
2025-06,Cursor,0.2473744773150732,240
2025-06,Devin,0.22953147672976182,557
2025-06,Human,0.16969530645292252,28
2025-06,OpenAI_Codex,0.1993465118752747,816
2025-07,Claude_Code,0.2465042561910545,260
2025-07,Copilot,0.1843407536454211,6020
2025-07,Cursor,0.2526894016872819,410
2025-07,Devin,0.23925176676803483,579
2025-07,OpenAI_Codex,0.23872740641101087,551
2025-08,Copilot,0.19686907156351574,98
2025-08,Cursor,0.3531026471406221,10
2025-08,Devin,0.260552288343509,18
